CdSe sonochem 90min ex360,,CdSe sonochem 90min ex345,,CdSe sonochem 90min ex330,,CdSe sonochem 90min em420,,CdSe sonochem 90min em515,,CdSe sonochem 90min ex385,,
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),
513.0300293,157.5838318,497.9100037,83.39044952,483.0299988,53.33227539,383.0700073,66.76127625,403.0700073,175.6704102,537.9099731,121.23629,
513.9299927,157.6871338,498.9500122,87.1047287,483.9299927,51.64278412,384,64.19509888,404,174.9678802,538.9500122,117.1362686,
515,164.5453796,499.8500061,89.15129089,485,51.46129227,385.0700073,60.78289413,405.0700073,174.5209961,539.8499756,115.7228775,
516.0599976,164.4451141,500.8900146,92.79361725,486.0599976,52.59091187,386,58.80784225,406,174.8770142,540.8800049,112.6110458,
516.960022,163.4808044,501.9400024,95.02072144,486.9599915,52.75884247,387.0700073,55.84751511,407.0700073,173.2147064,541.9099731,110.2611313,
518.0300293,167.2313538,502.980011,101.7454605,488.0299988,50.9480896,388,53.17504883,408,171.7448273,542.9400024,107.7291946,
518.9299927,163.6316528,503.8800049,102.864418,488.9299927,50.57053375,389.0700073,50.90421295,409.0700073,170.5747528,543.9699707,102.9581451,
520,164.8557434,504.9200134,109.8927155,490,52.90872192,390,47.98051453,410,168.4933167,544.8499756,101.3221893,
521.039978,164.0059052,505.9700012,113.4918823,491.0400085,51.59049606,391.0599976,45.6757431,411.0599976,167.65065,545.8800049,97.98928833,
521.9400024,159.9407959,506.8599854,118.2111511,491.9400024,52.8915062,391.9599915,43.98888779,411.9599915,167.236618,546.9099731,96.37775421,
522.9799805,159.5922089,507.9100037,120.2758636,492.980011,55.3256073,393.0299988,41.8662529,413.0299988,165.8204651,547.9400024,96.34007263,
524.0200195,154.509903,508.9500122,123.6253357,494.019989,54.05496979,393.9299927,39.77308273,413.9299927,164.6733704,548.9699707,92.36669159,
525.0700073,154.7935638,509.8500061,128.547226,495.0700073,55.81717682,395,36.90924072,415,164.6575165,549.8499756,90.20353699,
525.9699707,149.6911163,510.8999939,132.2793121,495.9700012,58.55732727,396.0599976,34.53367996,416.0599976,162.5924835,550.8900146,89.26301575,
527.0100098,147.4901123,511.9599915,132.9080658,497.0100098,59.44123077,396.9599915,32.31149292,416.9599915,164.9173737,551.9400024,86.72369385,
528.0499878,145.0963898,512.8699951,137.9354095,498.0499878,61.90958405,398.0299988,30.7895546,418.0299988,163.5198975,552.9799805,85.41716766,
528.9500122,139.2052765,513.9299927,139.3487701,498.9500122,62.00816345,398.9299927,29.24426651,418.9299927,163.6210632,553.8800049,83.43252563,
530,136.4683838,514.8400269,142.4437561,500,67.26615906,400,26.74200058,420,163.2549744,554.9199829,80.92617035,
531.039978,131.0055542,515.9000244,143.8540649,501.0400085,69.42539215,401.0700073,24.65686035,421.0700073,163.8154907,555.9699707,81.2190094,
